Ref,Val,Package,PosX,PosY,Rot,Side
"ANT2","0868AT43A0020E","Ant_868MHz_0868AT43A0020E",6.400000,13.000000,90.000000,bottom
"C1","1uF","C_0402_1005Metric",34.700000,13.700000,180.000000,bottom
"C4","10nF","C_0402_1005Metric",17.800000,2.825000,270.000000,bottom
"C5","3,3nF","C_0402_1005Metric",19.800000,2.825000,90.000000,bottom
"C6","0.1uF","C_0402_1005Metric",25.050000,2.100000,180.000000,bottom
"C7","22pF","C_0402_1005Metric",9.400000,12.700000,0.000000,bottom
"C8","10uF","C_0603_1608Metric",32.700000,14.750000,90.000000,bottom
"C9","0.1uF","C_0402_1005Metric",21.575000,3.650000,90.000000,bottom
"C10","0.1uF","C_0402_1005Metric",26.525000,4.100000,270.000000,bottom
"C11","0.1uF","C_0402_1005Metric",22.500000,7.050000,0.000000,bottom
"C12","1uF","C_0402_1005Metric",19.500000,4.300000,180.000000,bottom
"C13","1uF","C_0402_1005Metric",24.675000,7.050000,180.000000,bottom
"C14","100pF","C_0402_1005Metric",21.575000,5.550000,90.000000,bottom
"C15","0.1uF","C_0402_1005Metric",22.800000,2.100000,180.000000,bottom
"C21","470nF","C_0402_1005Metric",28.200000,13.760000,270.000000,bottom
"C23","3.3pF","C_0402_1005Metric",9.400000,16.700000,0.000000,bottom
"C24","100nF","C_0402_1005Metric",28.200000,10.800000,270.000000,bottom
"C25","3.3pF","C_0402_1005Metric",9.400000,13.700000,0.000000,bottom
"C26","15pF","C_0402_1005Metric",22.750000,16.200000,270.000000,bottom
"C27","1.8pF","C_0402_1005Metric",20.225000,11.400000,0.000000,bottom
"C28","3.3pF","C_0402_1005Metric",11.200000,10.350000,270.000000,bottom
"C29","15pF","C_0402_1005Metric",26.650000,16.200000,90.000000,bottom
"C30","12pF","C_0402_1005Metric",16.800000,13.420000,0.000000,bottom
"C31","3.3pF","C_0402_1005Metric",11.200000,15.000000,90.000000,bottom
"C35","3.0pF","C_0402_1005Metric",19.740000,14.410000,0.000000,bottom
"C37","47nF","C_0402_1005Metric",20.700000,16.350000,180.000000,bottom
"C38","47pF","C_0402_1005Metric",20.700000,15.400000,180.000000,bottom
"C39","6.8pF","C_0402_1005Metric",18.250000,13.900000,270.000000,bottom
"C40","1.8pF","C_0402_1005Metric",20.225000,12.400000,0.000000,bottom
"C41","1.0pF","C_0402_1005Metric",18.750000,11.900000,270.000000,bottom
"L2","47nH","L_0402_1005Metric",28.550000,15.900000,180.000000,bottom
"L3","9.1nH","L_0402_1005Metric",8.900000,15.200000,270.000000,bottom
"L5","9.1nH","L_0402_1005Metric",14.900000,13.420000,0.000000,bottom
"L9","15uH","L_0805_2012Metric",29.800000,13.300000,90.000000,bottom
"L10","18nH","L_0402_1005Metric",21.710000,11.900000,270.000000,bottom
"L11","47nH","L_0402_1005Metric",21.200000,13.900000,90.000000,bottom
"L12","2.7nH","L_0402_1005Metric",19.720000,13.400000,180.000000,bottom
"Q1","MBT3904DW1T1G","SOT-363_SC-70-6",32.450000,5.650000,270.000000,bottom
"R1","1K","R_0402_1005Metric",33.370000,3.610000,0.000000,bottom
"R2","1K","R_0402_1005Metric",33.370000,2.620000,180.000000,bottom
"R3","20K","R_0402_1005Metric",18.800000,2.825000,90.000000,bottom
"R4","10K","R_0402_1005Metric",28.600000,2.625000,270.000000,bottom
"R9","10K","R_0402_1005Metric",34.450000,5.500000,270.000000,bottom
"R10","10K","R_0402_1005Metric",30.600000,5.100000,270.000000,bottom
"R11","1K","R_0402_1005Metric",29.550000,4.250000,90.000000,bottom
"R12","10K","R_0402_1005Metric",31.700000,1.650000,0.000000,bottom
"R14","47K","R_0402_1005Metric",27.400000,8.550000,0.000000,bottom
"R15","47K","R_0402_1005Metric",28.525000,6.075000,180.000000,bottom
"R16","47K","R_0402_1005Metric",30.775000,15.900000,180.000000,bottom
"R20","100R","R_0402_1005Metric",12.200000,10.350000,270.000000,bottom
"R21","100R","R_0402_1005Metric",12.200000,15.000000,270.000000,bottom
"U1","TLV75733PDBVR","SOT-23-5",33.200000,11.350000,180.000000,bottom
"U3","SX1261IMLTRT","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias",24.950000,12.000000,270.000000,bottom
"U6","RF-Switch_pSemi_4259-63","SC-70-6",12.200000,12.700000,180.000000,bottom
"Y1","FTR5092-A2 32MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",24.700000,16.200000,0.000000,bottom
